# This is a toy data for ChunkProportionsAndGMM code
IND1 IND2 IND3 IND4 IND5 IND6 IND7 IND8 IND9 IND10 IND11 IND12 IND13 IND14 IND15 IND16 IND17 IND18 IND19 IND20 IND21 IND22 IND23 IND24 IND25 IND26 IND27 IND28 IND29 IND30 IND31 IND32 IND33 IND34 IND35 IND36 IND37 IND38 IND39 IND40 IND41 IND42 IND43 IND44 IND45 IND46 IND47 IND48 IND49 IND50 IND51 IND52 IND53 IND54 IND55 IND56 IND57 IND58 IND59 IND60 IND61 IND62 IND63 IND64 IND65 IND66 IND67 IND68 IND69 IND70 IND71 IND72 IND73 IND74 IND75 IND76 IND77 IND78 IND79 IND80 IND81 IND82 IND83 IND84 IND85 IND86 IND87 IND88 IND89 IND90 IND91 IND92 IND93 IND94 IND95 IND96 IND97 IND98 IND99 IND100
IND1 0 27 26 25 32 34 29 30 30 23 30 35 22 27 29 27 25 27 30 31 23 23 30 30 31 34 34 29 29 31 25 28 31 27 30 28 32 30 27 30 27 28 34 29 27 28 29 25 30 27 28 28 29 34 30 31 30 26 26 24 27 25 28 32 26 23 27 33 30 25 24 24 24 25 27 28 31 22 25 22 28 26 26 27 31 23 25 21 29 28 21 24 25 25 20 31 28 22 22 27
IND2 31 0 22 26 28 22 25 29 26 24 31 26 24 28 33 30 24 24 25 25 28 25 20 24 30 31 30 30 31 29 27 30 28 28 24 26 31 24 24 34 25 26 27 26 21 25 27 27 26 30 27 26 27 26 24 25 27 23 28 26 26 28 26 21 30 22 27 23 24 24 29 19 26 26 26 23 21 25 24 26 20 23 24 21 21 25 23 21 22 23 21 23 24 24 23 26 27 22 24 24
IND3 26 22 0 24 27 23 30 27 24 20 27 30 19 24 26 30 22 27 36 27 24 31 30 27 28 22 26 21 28 34 24 29 30 23 26 26 30 23 28 23 24 33 27 24 26 19 23 25 28 22 22 27 24 25 24 22 26 22 24 26 24 30 26 24 20 24 21 25 26 23 26 29 25 24 31 21 25 22 22 22 24 20 26 28 24 27 20 22 24 23 25 25 24 21 28 24 24 22 23 28
IND4 20 19 18 0 20 18 19 17 24 19 24 17 21 18 21 18 16 18 20 19 17 20 23 19 22 20 19 17 21 16 18 17 21 19 14 19 17 19 16 18 22 13 17 18 18 17 19 18 18 18 21 20 20 22 19 19 17 23 25 17 23 17 26 22 24 15 13 23 23 18 15 19 20 17 18 22 20 19 19 20 19 22 22 13 18 22 20 18 17 26 21 20 24 19 17 18 24 18 15 16
IND5 32 31 33 29 0 23 33 27 25 27 29 33 22 24 34 33 29 33 28 32 34 33 35 31 29 36 26 26 28 31 29 34 27 32 26 31 32 31 29 32 26 30 32 29 32 28 35 27 30 25 30 25 25 30 27 30 29 29 27 24 26 30 31 29 24 27 31 30 26 25 22 31 22 29 26 30 24 31 31 27 25 29 24 24 23 25 28 24 25 23 25 27 28 26 27 26 33 26 24 25
IND6 32 24 28 21 24 0 26 26 23 24 27 27 20 25 31 25 27 27 25 28 29 23 25 22 30 27 25 22 23 22 26 28 28 26 29 26 25 31 24 22 30 24 29 29 29 26 26 33 33 25 27 25 26 27 24 25 25 26 28 25 26 29 22 24 23 27 21 23 27 22 22 21 20 21 23 27 23 27 23 21 24 26 27 23 20 28 27 26 22 21 24 21 25 26 21 22 25 25 24 25
IND7 32 25 32 28 29 31 0 27 28 30 32 31 30 33 25 30 23 25 31 31 34 28 33 29 33 32 32 24 34 33 31 29 29 32 35 30 32 27 27 30 27 33 33 28 38 30 30 33 33 30 27 29 29 29 30 28 26 29 26 33 29 27 32 29 32 27 30 27 34 27 27 28 26 25 33 31 33 25 26 24 30 30 26 23 24 32 26 27 26 29 25 32 29 26 28 30 26 23 22 22
IND8 28 26 28 26 29 29 32 0 24 26 28 30 25 27 25 29 30 30 33 31 33 26 32 27 30 31 33 28 27 32 25 25 31 24 27 27 26 29 30 31 30 30 29 26 33 28 27 30 28 29 32 25 27 27 28 27 30 30 25 28 29 36 34 30 29 27 27 23 30 27 31 30 24 24 31 29 26 28 21 23 23 26 27 24 25 23 28 25 28 25 21 30 22 22 25 25 26 21 22 29
IND9 25 23 19 18 17 20 21 19 0 19 23 20 19 20 19 21 23 20 22 22 21 16 20 21 18 20 18 16 19 22 22 18 20 19 26 15 21 15 20 23 17 18 21 17 21 20 19 23 20 24 19 20 17 17 23 19 21 18 15 16 21 20 20 20 23 16 20 22 18 21 18 22 20 21 19 17 15 18 17 18 18 21 16 19 19 18 18 22 14 20 18 23 17 24 21 22 20 17 20 20
IND10 15 19 12 17 18 16 21 17 17 0 20 20 22 15 15 18 15 18 19 16 15 16 17 22 17 15 19 17 20 20 20 19 21 15 16 17 20 15 17 14 18 17 19 17 14 17 20 15 19 18 14 19 19 14 21 17 17 19 20 18 16 16 20 15 15 18 17 19 16 19 18 18 13 17 15 19 18 16 17 15 16 17 16 21 16 13 16 14 14 21 19 17 13 22 16 20 16 24 16 14
